Epoch,Train Loss,Test Forward Loss,Test Backward Loss,Test Forward RMSE,Test Backward RMSE
1,1.5895153880119324,0.47945141792297363,0.44610321521759033,0.6924242973327637,0.667909562587738
2,0.7409303486347198,0.2509094476699829,0.2137148529291153,0.500908613204956,0.46229302883148193
3,0.5846857875585556,0.20879235863685608,0.1735316812992096,0.4569380283355713,0.41657134890556335
4,0.49996630251407626,0.19317655265331268,0.14706404507160187,0.439518541097641,0.38348931074142456
5,0.47889505326747894,0.1958661675453186,0.14379005134105682,0.44256770610809326,0.3791965842247009
6,0.4570569276809692,0.18690285086631775,0.1321769803762436,0.43232262134552,0.3635615110397339
7,0.4461932241916656,0.18207648396492004,0.12565778195858002,0.42670419812202454,0.35448241233825684
8,0.4355528026819229,0.1814226359128952,0.11988049000501633,0.42593735456466675,0.3462376296520233
9,0.42730380594730377,0.1790398806333542,0.11441434174776077,0.4231310486793518,0.33825188875198364
10,0.4202450215816498,0.175648495554924,0.1090812087059021,0.4191043972969055,0.33027443289756775
11,0.4148900419473648,0.1781189888715744,0.10670021921396255,0.4220414459705353,0.3266499936580658
12,0.4102810800075531,0.17507556080818176,0.10160169750452042,0.41842031478881836,0.31875020265579224
13,0.40475561320781706,0.17138142883777618,0.09522899240255356,0.4139823913574219,0.30859196186065674
14,0.4042805850505829,0.17581987380981445,0.09988021850585938,0.4193088114261627,0.3160383105278015
15,0.39835908710956575,0.17153219878673553,0.09557278454303741,0.4141644537448883,0.30914849042892456
16,0.39313082993030546,0.17272605001926422,0.09331312775611877,0.41560325026512146,0.3054719865322113
17,0.39331779778003695,0.1763731837272644,0.09649910777807236,0.4199680685997009,0.3106430470943451
18,0.3872489780187607,0.1711873710155487,0.0899100974202156,0.41374796628952026,0.29985013604164124
19,0.38525804579257966,0.17485693097114563,0.09268584847450256,0.41815897822380066,0.30444350838661194
20,0.3841199606657028,0.17414255440235138,0.09096185863018036,0.4173039197921753,0.30159884691238403
21,0.3807571291923523,0.17064079642295837,0.08748070895671844,0.4130869209766388,0.29577139019966125
22,0.38101976215839384,0.1758221536874771,0.09051702171564102,0.4193115234375,0.3008604645729065
23,0.37721169292926787,0.17503342032432556,0.08627474308013916,0.41836994886398315,0.2937256395816803
24,0.3767333745956421,0.17185711860656738,0.08643490821123123,0.4145565330982208,0.2939981520175934
25,0.3781717956066132,0.18212111294269562,0.09438112378120422,0.42675650119781494,0.3072151243686676
26,0.37538343071937563,0.16973479092121124,0.08270495384931564,0.4119888246059418,0.28758469223976135
27,0.36988426446914674,0.17637579143047333,0.08812595158815384,0.41997116804122925,0.2968601584434509
28,0.36922734826803205,0.17920911312103271,0.08843915164470673,0.42333096265792847,0.2973872125148773
29,0.36774763762950896,0.1722826063632965,0.08241084218025208,0.4150694012641907,0.28707289695739746
30,0.36774313151836396,0.17617295682430267,0.08659440279006958,0.419729620218277,0.29426926374435425
31,0.3615441471338272,0.17373038828372955,0.08469413965940475,0.4168097674846649,0.29102256894111633
32,0.3621196448802948,0.17578032612800598,0.08752758800983429,0.419261634349823,0.29585060477256775
33,0.35940585732460023,0.1746726930141449,0.0839400589466095,0.41793861985206604,0.28972411155700684
34,0.35670658349990847,0.17770685255527496,0.08682475984096527,0.4215528964996338,0.29466041922569275
35,0.3542784139513969,0.1752898097038269,0.08326046168804169,0.4186762571334839,0.28854888677597046
36,0.3540080368518829,0.1761666089296341,0.08415590226650238,0.4197220504283905,0.29009637236595154
37,0.3526055857539177,0.1748514473438263,0.08434153348207474,0.41815242171287537,0.2904161512851715
38,0.3515569895505905,0.1843997836112976,0.0957995131611824,0.4294179677963257,0.30951496958732605
39,0.3528196781873703,0.17543664574623108,0.08604592084884644,0.4188515841960907,0.29333585500717163
40,0.34736951291561124,0.1766730099916458,0.08897751569747925,0.4203248918056488,0.29829099774360657
41,0.34737016558647155,0.17581792175769806,0.08632554858922958,0.4193064868450165,0.293812096118927
42,0.3470418483018875,0.1810670644044876,0.09278851747512817,0.42551976442337036,0.30461207032203674
43,0.3460481956601143,0.17487846314907074,0.08670597523450851,0.41818472743034363,0.2944587767124176
44,0.34481481909751893,0.17621253430843353,0.08777043968439102,0.4197767674922943,0.2962607741355896
45,0.3428290158510208,0.17935189604759216,0.09368479251861572,0.42349958419799805,0.3060797154903412
46,0.34032133519649505,0.17689627408981323,0.08934886753559113,0.4205904006958008,0.29891282320022583
47,0.34044711142778394,0.18128171563148499,0.09315715730190277,0.42577189207077026,0.30521658062934875
48,0.3383448377251625,0.17755673825740814,0.0876867026090622,0.4213748276233673,0.2961193919181824
49,0.3385069876909256,0.17730973660945892,0.08752923458814621,0.42108163237571716,0.2958534061908722
50,0.3362832337617874,0.17463955283164978,0.08633210510015488,0.4178989827632904,0.2938232421875
